81,KENNEDY BD STATION,BD,EUDO,Door Problems - Faulty Equipment
82,SHEPPARD STATION,YU,MUSC,Miscellaneous Speed Control
83,KEELE STATION,BD,PUTWZ,Work Zone Problems - Track
84,YONGE BD STATION,BD,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
85,QUEEN STATION,YU,MUSC,Miscellaneous Speed Control
86,QUEEN STATION,YU,MUSC,Miscellaneous Speed Control
87,QUEEN STATION,YU,MUSC,Miscellaneous Speed Control
88,ROYAL YORK STATION,BD,PUMO,Station Other
89,FINCH STATION,YU,TUSC,Operator Overspeeding
90,PAPE STATION,BD,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
91,EGLINTON STATION,YU,EUSC,Speed Control Equipment  
92,YORK MILLS STATION,YU,TUSC,Operator Overspeeding
93,SHEPPARD WEST STATION,YU,EUBK,Brakes
94,WARDEN STATION,BD,SUDP,Disorderly Patron
95,OLD MILL STATION,BD,TUOS,Operator Overshot Platform
96,LAWRENCE WEST STATION,YU,MUI,Injured or ill Customer (On Train) - Transported
97,PIONEER VILLAGE STATIO,YU,SUUT,Unauthorized at Track Level
98,GREENWOOD STATION,BD,PUSTS,Signals - Train Stops
99,GREENWOOD STATION,BD,PUSTS,Signals - Train Stops
100,CHRISTIE STATION,BD,MUIR,Injured or ill Customer (On Train) - Medical Aid Refused
101,KENNEDY BD STATION,BD,TUMVS,Operator Violated Signal
102,LAWRENCE WEST STATION,YU,PUSAC,Signals Axle Counter Block Failure
103,SHERBOURNE STATION,BD,MUTO,Misc. Transportation Other - Employee Non-Chargeable
104,VICTORIA PARK STATION,BD,MUD,Door Problems - Passenger Related
105,OSSINGTON STATION,BD,SUO,Passenger Other
106,KIPLING STATION,BD,SUO,Passenger Other
107,LAWRENCE EAST STATION,SRT,ERTC,Train Control - VOBC
108,EGLINTON WEST STATION,YU,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
109,MCCOWAN STATION,SRT,ERTC,Train Control - VOBC
110,LAWRENCE WEST STATION,YU,PUSAC,Signals Axle Counter Block Failure
111,SHEPPARD STATION,YU,TUOS,Operator Overshot Platform
112,SHERBOURNE STATION,BD,SUDP,Disorderly Patron
113,ISLINGTON STATION,BD,SUDP,Disorderly Patron
114,COLLEGE STATION,YU,SUDP,Disorderly Patron
115,LESLIE STATION,SHP,PUEO,#N/A
116,ROYAL YORK STATION,BD,MUSC,Miscellaneous Speed Control
117,CHESTER STATION,BD,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
118,QUEEN STATION,YU,MUSC,Miscellaneous Speed Control
119,DUNDAS WEST STATION,BD,TUMVS,Operator Violated Signal
120,RUNNYMEDE STATION,BD,TUO,Transportation Department - Other
121,EGLINTON STATION,YU,MUTO,Misc. Transportation Other - Employee Non-Chargeable
122,OLD MILL STATION,BD,EUNT,Equipment - No Trouble Found
123,PAPE STATION,BD,SUUT,Unauthorized at Track Level
124,CHRISTIE STATION,BD,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
125,COXWELL STATION,BD,MUTO,Misc. Transportation Other - Employee Non-Chargeable
126,SHEPPARD-YONGE STATION,SHP,TUSC,Operator Overspeeding
127,GREENWOOD STATION,BD,MUD,Door Problems - Passenger Related
128,LANSDOWNE STATION,BD,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
129,EGLINTON STATION,YU,PUTWZ,Work Zone Problems - Track
130,SHEPPARD WEST STATION,YU,MUTO,Misc. Transportation Other - Employee Non-Chargeable
131,SHERBOURNE STATION,BD,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
132,FINCH STATION,YU,MUSC,Miscellaneous Speed Control
133,EGLINTON STATION,YU,TUO,Transportation Department - Other
134,EGLINTON STATION,YU,PUSTC,Signals - Track Circuit Problems
135,QUEEN STATION,YU,MUSC,Miscellaneous Speed Control
136,LAWRENCE WEST STATION,YU,EUME,RC&S Maintenance Error - (Human)
137,FINCH STATION,YU,MUSAN,Unsanitary Vehicle
138,EGLINTON STATION,YU,TUO,Transportation Department - Other
139,YONGE BD STATION,BD,SUDP,Disorderly Patron
140,CHRISTIE STATION,BD,SUDP,Disorderly Patron
141,EGLINTON STATION,YU,SUDP,Disorderly Patron
142,FINCH STATION,YU,MUTO,Misc. Transportation Other - Employee Non-Chargeable
143,YORK MILLS STATION,YU,SUDP,Disorderly Patron
144,YORK MILLS STATION,YU,EUSC,Speed Control Equipment  
145,PAPE STATION,BD,SUDP,Disorderly Patron
146,CHRISTIE STATION,BD,TUMVS,Operator Violated Signal
147,COLLEGE STATION,YU,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
148,DUNDAS WEST STATION,BD,TUMVS,Operator Violated Signal
149,FINCH STATION,YU,MUSC,Miscellaneous Speed Control
150,YORK MILLS STATION,YU,PUSI,Signals or Related Components Failure 
151,MCCOWAN STATION,SRT,MRCL,Divisional Clerk Related
152,DAVISVILLE STATION,YU,EUSC,Speed Control Equipment  
153,ST ANDREW STATION,YU,SUAP,Assault / Patron Involved
154,ISLINGTON STATION,BD,TUMVS,Operator Violated Signal
155,FINCH STATION,YU,MUSC,Miscellaneous Speed Control
156,DAVISVILLE STATION,YU,SUDP,Disorderly Patron
157,ELLESMERE STATION,SRT,ERDO,Door Problems - Faulty Equipment
158,EGLINTON STATION,YU,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
159,SHERBOURNE STATION,BD,SUSA,Sexual Assault
160,WARDEN STATION,BD,PUTIJ,Insulated Joint Related Problem
161,CASTLE FRANK STATION,BD,SUDP,Disorderly Patron
162,SPADINA BD STATION,BD,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
163,CASTLE FRANK STATION,BD,SUDP,Disorderly Patron
164,FINCH STATION,YU,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
165,VAUGHAN MC STATION,YU,MUTO,Misc. Transportation Other - Employee Non-Chargeable
166,WOODBINE STATION,BD,SUDP,Disorderly Patron
167,SPADINA BD STATION,BD,SUDP,Disorderly Patron
168,QUEEN STATION,YU,SUDP,Disorderly Patron
169,ST CLAIR STATION,YU,MUIS,Injured or ill Customer (In Station) - Transported
170,YONGE BD STATION,BD,SUAP,Assault / Patron Involved
171,SHEPPARD WEST STATION,YU,MUNOA,No Operator Immediately Available - Not E.S.A. Related 
172,FINCH STATION,YU,EUNT,Equipment - No Trouble Found
173,DAVISVILLE STATION,YU,MUO,Miscellaneous Other
174,LESLIE STATION,SHP,PUEO,#N/A
175,VAUGHAN MC STATION,YU,MUTO,Misc. Transportation Other - Employee Non-Chargeable
176,DAVISVILLE STATION,YU,MUSC,Miscellaneous Speed Control
177,BROADVIEW STATION,BD,MUTD,Training Department Related Delays
178,RUNNYMEDE STATION,BD,MUIR,Injured or ill Customer (On Train) - Medical Aid Refused
179,COXWELL STATION,BD,TUNIP,Operator Not In Position
180,VAUGHAN MC STATION,YU,TUNIP,Operator Not In Position
181,YORK MILLS STATION,YU,TUSC,Operator Overspeeding
182,ST GEORGE BD STATION,BD,SUUT,Unauthorized at Track Level
183,YORK MILLS STATION,YU,MUSC,Miscellaneous Speed Control
184,SHEPPARD STATION,YU,MUSC,Miscellaneous Speed Control
185,NORTH YORK CTR STATION,YU,TUSC,Operator Overspeeding
186,KIPLING STATION,BD,EUAC,Air Conditioning
187,PAPE STATION,BD,SUDP,Disorderly Patron
188,GREENWOOD STATION,BD,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
189,CHESTER STATION,BD,TUO,Transportation Department - Other
190,GLENCAIRN STATION,YU,EUDO,Door Problems - Faulty Equipment
191,FINCH STATION,YU,MUSAN,Unsanitary Vehicle
192,YORK MILLS STATION,YU,TUSC,Operator Overspeeding
193,DAVISVILLE STATION,YU,PUSNT,Signal Problem - No Trouble
194,ROYAL YORK STATION,BD,MUD,Door Problems - Passenger Related
195,MCCOWAN STATION,SRT,ERDO,Door Problems - Faulty Equipment
196,SHEPPARD WEST STATION,YU,SUO,Passenger Other
197,QUEEN'S PARK STATION,YU,MUATC,ATC Project
198,DONLANDS STATION,BD,TUO,Transportation Department - Other
199,YONGE BD STATION,BD,MUO,Miscellaneous Other
200,PAPE STATION,BD,MUO,Miscellaneous Other
201,VAUGHAN MC STATION,YU,EUDO,Door Problems - Faulty Equipment
202,KIPLING STATION,BD,MUIE,Injured Employee
203,QUEEN STATION,YU,MUSC,Miscellaneous Speed Control
204,CHRISTIE STATION,BD,EUPI,Propulsion System
205,OLD MILL STATION,BD,MUSC,Miscellaneous Speed Control
206,LAWRENCE STATION,YU,MUTO,Misc. Transportation Other - Employee Non-Chargeable
207,COLLEGE STATION,YU,TUOS,Operator Overshot Platform
208,GLENCAIRN STATION,YU,EUTL,Trainline System
209,CHESTER STATION,BD,TUSC,Operator Overspeeding
210,DUFFERIN STATION,BD,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
211,PAPE STATION,BD,EUTR,Trucks
212,DON MILLS STATION,SHP,MUTD,Training Department Related Delays
213,DAVISVILLE STATION,YU,SUO,Passenger Other
214,FINCH STATION,YU,SUO,Passenger Other
215,JANE STATION,BD,SUAP,Assault / Patron Involved
216,KING STATION,YU,MUATC,ATC Project
217,CHESTER STATION,BD,TUO,Transportation Department - Other
218,PAPE STATION,BD,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
219,FINCH STATION,YU,EUBK,Brakes
220,VAUGHAN MC STATION,YU,TUNIP,Operator Not In Position
221,KIPLING STATION,BD,MUSAN,Unsanitary Vehicle
222,BLOOR STATION,YU,SUDP,Disorderly Patron
223,KENNEDY BD STATION,BD,TUCC,Transit Control Related Problems
224,WILSON STATION,YU,MUI,Injured or ill Customer (On Train) - Transported
225,ST ANDREW STATION,YU,MUI,Injured or ill Customer (On Train) - Transported
226,BLOOR STATION,YU,SUDP,Disorderly Patron
227,SHEPPARD-YONGE STATION,SHP,MUSC,Miscellaneous Speed Control
228,DOWNSVIEW PARK STATION,YU,MUSC,Miscellaneous Speed Control
229,LESLIE STATION,SHP,PUEO,#N/A
