3032,Warden Station,16,Utilized Off Route
3033,Scarborough Centre Station,133,Utilized Off Route
3034,Lawrence West stn,163,Mechanical
3035,Scarborough centre Station,133,Utilized Off Route
3036,Eglinton Stn,32,Utilized Off Route
3037,Lawrence RT Station,54,Mechanical
3038,Scarborough Centre Station,133,Utilized Off Route
3039,Warden Station,17,Utilized Off Route
3040,Ellesmere & Morningside,116,Investigation
3041,Scarborough Centre Station,133,Utilized Off Route
3042,Scarborough Centre Station,133,Utilized Off Route
3043,Clairport,73,Mechanical
3044,York Mill station,97,Investigation
3045,Scarborough Centre Station,133,Utilized Off Route
3046,Scarborough Centre Station,133,Utilized Off Route
3047,Pine and lawrence,79,Mechanical
3048,Mc Cowan and Sheppard Ave W,85,Mechanical
3049,Kennedy Station,116,Utilized Off Route
3050,eeeg and warden,34,Investigation
3051,Eglinton and Chaplin,14,Investigation
3052,Craigton and Pharmacy,70,Mechanical
3053,"On Islington, at Lakeshore",110,Mechanical
3054,Kennedy Station,43,Utilized Off Route
3055,SHERBOURNE and Bloor,75,Utilized Off Route
3056,Wilson station,29,Mechanical
3057,Finch Stn,600,Vision
3058,Princess gates,29,Utilized Off Route
3059,lawrence statation,124,Mechanical
3060,Avenue road and Lawrence.,52,Mechanical
3061,Bathurst stn,7,Utilized Off Route
3062,Eglinton Stn,32,Utilized Off Route
3063,Jane at Wilson,35,Investigation
3064,Jane at Outlook,600,Investigation
3065,Steeles / Markham,53,Utilized Off Route
3066,Airport Terminal 3,52,Mechanical
3067,Pine and Lawrence w,32,Utilized Off Route
3068,Warden Station,16,Utilized Off Route
3069,Kipling and Gardner Exp,44,Mechanical
3070,Bathurst and Hotspur,109,Mechanical
3071,Finch West Station,36,Investigation
3072,Ellesmere and Mccowan,133,Mechanical
3073,Eglinton Station,54,Utilized Off Route
3074,Woodbine and Oconnor,91,Investigation
3075,Eglinton and Leslie,34,Investigation
3076,Warden Station,16,Utilized Off Route
3077,Lawrence RT,54,Emergency Services
3078,Eglinton and Swift,34,Investigation
3079,Lawrence Station,52,Mechanical
3080,STC,21,Mechanical
3081,Eglinton Station,6,Utilized Off Route
3082,Sheppard West Station,105,Mechanical
3083,Lawrence and Marlee,163,Mechanical
3084,Bathurst station,7,Utilized Off Route
3085,Wilson and Clayson,165,Investigation
3086,Bombay loop,61,Mechanical
3087,High Park stn,89,Mechanical
3088,Daws and Donor,23,Investigation
3089,Runnymede stn,71,Utilized Off Route
3090,Kipling stn,900,Late Leaving Garage - Mechanical
3091,Finch station,39,Mechanical
3092,Kingston / Ellesmere,95,Mechanical
3093,Kennedy and Lawrence,43,Diversion
3094,Hollinger and Bermonsey,91,Diversion
3095,Sheppard and Doris (EB),98,Investigation
3096,Victoria Park Stn,24,Mechanical
3097,Kipling stn,112,Mechanical
3098,Eglinton and keele,32,Vision
3099,Reforth Station,32,Mechanical
3100,Renforth Stn,32,Mechanical
3101,Ossington Station,63,Utilized Off Route
3102,Dufferin and Bloor,29,Utilized Off Route
3103,Kennedy Station,86,Utilized Off Route
3104,Lawrence and Brookview Dr,52,Investigation
3105,Markham and Milner,102,Mechanical
3106,Jane and Spenvalley,35,Investigation
3107,Queens Quay and Yonge Street,320,Mechanical
3108,Jane station,335,Investigation
3109,Bloor and Landsdowne,300,Utilized Off Route
3110,Yonge Street and Steeles Ave,320,Emergency Services
3111,Morningview and Morningside,131,Late Leaving Garage - Operator
3112,Jane Station,35,Late Leaving Garage - Management
3113,Kennedy station,43,Mechanical
