2011,Niagara and Queen,501,Mechanical
2012,Roncesvalles & Fermanagh,504,Investigation
2013,Spadina and Front,511,Mechanical
2014,Bathurst and Robinson,511,Emergency Services
2015,Upper Gerrard and Glenmount,506,Held By
2016,King and Joe Shuster,504,Investigation
2017,Upper Gerrard and Glenmount,306,Investigation
2018,Queen and Greenwood Ave,501,Diversion
2019,Dundas Denision,505,Investigation
2020,Dundas West Station,504,Mechanical
2021,Dufferin Loop,504,Investigation
2022,Main Station,506,Mechanical
2023,Roncy and Howard park,504,Investigation
2024,Dundas West Station,504,Mechanical
2025,Spadina and Queens Quay,509,Mechanical
2026,Dundas Parliament,505,Overhead - Pantograph
2027,Dufferin Loop,504,Mechanical
2028,King and Bathurst,511,Emergency Services
2029,The Queensway and Sunnyside Ave,501,Emergency Services
2030,Lansdowne  Dundas,505,Investigation
2031,Gerrard Parliament,506,Overhead - Pantograph
2032,Coxwell and Gerrard,506,Mechanical
2033,Broadview station,504,Investigation
2034,Queen and Shaw,501,Mechanical
2035,Union Station,509,Mechanical
2036,Spadina and Queen,510,Investigation
2037,Lakeshore and Parklawn,501,Emergency Services
2038,QUEEN AND AUGUSTA,501,Investigation
2039,Main Station,306,Investigation
2040,Dundas West Station,505,Emergency Services
2041,CNE Loop,509,Mechanical
2042,Neville Loop,501,Mechanical
2043,Gerrard and Pape,506,Held By
2044,King and Church St.,504,Investigation
2045,LAKESHORE AND TWENTY SEVENTH STREET,501,Held By
2046,Main Station,506,Emergency Services
2047,GUNNS LOOP,512,Mechanical
2048,Bathurst Station,511,Mechanical
2049,LONG BRANCH LOOP,501,Investigation
2050,Spadina and King,510,General Delay
2051,King and Portland,504,Held By
2052,Parliament and Dundas Street,504,General Delay
2053,Queen & Sherbourne,501,Held By
2054,St Clair & Bathurst,512,Investigation
2055,Dundas and Broadview,505,Held By
2056,Dundas and Broadview,504,Diversion
2057,Dundas & Broadview,501,Investigation
2058,Queen and Rpncesvalles,504,Late Leaving Garage
2059,Dundas and Dovercourt,505,Held By
2060,Humber Loop,501,Utilized Off Route
2061,Queen and Shaw,501,Emergency Services
2062,Parliament and Dundas,501,General Delay
2063,King and University Avenue,504,Mechanical
2064,Broadview and Gerrard,505,Diversion
2065,Broadview Avenue and Gerrard Street,504,Held By
2066,Humber Loop,501,Utilized Off Route
2067,Humber Loop,501,Utilized Off Route
2068,HUMBER LOOP,501,Mechanical
2069,Dundas West Station,504,Mechanical
2070,Bathurst and Fleet,509,Held By
2071,St Clair Stn,512,Held By
2072,Queens Quay & Dan Leckie,509,Mechanical
2073,Leslie Barns,509,Late Leaving Garage
2074,Queen and Woodfield,501,Mechanical
2075,Gunns loop,512,Emergency Services
2076,Gerrard and Prust,506,Mechanical
2077,Exhibition Loop,511,Mechanical
2078,SPADINA STATION,510,Mechanical
2079,Queensway and Sunnyside,501,Held By
2080,Dundas and University,505,Mechanical
2081,Howard Park Sunnyside Avenue,506,Held By
2082,Bathurst Station,511,Mechanical
2083,Bathurst Statoin,511,Mechanical
2084,Coxwell Gerrard,506,Mechanical
2085,Longbranch Loop,501,Mechanical
2086,Bathurst and Harbord,511,Mechanical
