"worst_rating","route","num_delays","avg_delay"
"1",133,"190","10.2578947368421053"
"2",52,"129","19.3798449612403101"
"3",32,"118","11.2796610169491525"
"4",36,"114","16.7280701754385965"
"5",54,"75","13.4533333333333333"
"6",600,"74","1.9729729729729730"
"7",29,"68","10.9852941176470588"
"8",53,"61","11.7377049180327869"
"9",60,"59","10.3559322033898305"
"10",63,"59","8.6440677966101695"
"11",85,"56","18.4464285714285714"
"12",95,"55","8.5272727272727273"
"13",7,"54","14.5000000000000000"
"14",102,"54","13.6851851851851852"
"15",927,"52","9.2115384615384615"
"16",39,"52","15.0769230769230769"
"17",35,"49","8.0408163265306122"
"18",75,"47","42.2765957446808511"
"19",165,"47","27.6595744680851064"
"20",116,"46","12.4130434782608696"
"21",11,"42","17.0952380952380952"
"22",43,"40","13.0500000000000000"
"23",41,"39","19.6410256410256410"
"24",34,"39","11.4615384615384615"
"25",84,"38","12.1578947368421053"
"26",38,"37","7.6756756756756757"
"27",89,"36","11.6666666666666667"
"28",47,"34","15.3823529411764706"
"29",96,"33","21.1515151515151515"
"30",17,"32","13.9062500000000000"
"31",320,"32","5.7187500000000000"
"32",86,"32","12.7812500000000000"
"33",16,"32","32.1875000000000000"
"34",24,"31","14.3548387096774194"
"35",163,"29","11.4827586206896552"
"36",161,"28","28.3571428571428571"
"37",57,"25","7.6400000000000000"
"38",6,"24","23.7083333333333333"
"39",106,"24","11.0833333333333333"
"40",25,"23","8.7391304347826087"
"41",94,"22","18.2272727272727273"
"42",21,"21","16.7619047619047619"
"43",129,"21","9.5714285714285714"
"44",79,"20","15.0500000000000000"
"45",108,"19","20.0526315789473684"
"46",300,"19","18.5789473684210526"
"47",87,"18","13.1666666666666667"
"48",42,"17","12.6470588235294118"
"49",97,"17","52.7647058823529412"
"50",22,"16","10.7500000000000000"
"51",40,"16","45.7500000000000000"
"52",73,"15","19.2000000000000000"
"53",124,"15","10.0666666666666667"
"54",76,"15","8.7333333333333333"
"55",46,"14","15.8571428571428571"
"56",12,"14","38.4285714285714286"
"57",100,"14","7.5714285714285714"
"58",168,"13","11.3076923076923077"
"59",110,"13","15.3846153846153846"
"60",44,"13","6.3076923076923077"
"61",20,"13","38.4615384615384615"
